Name,Start Date,End Date,Location,Address,Link
Develop: Brighton,November 2,November 4,"
		Online	","
",https://aixr.org/event-listing/develop-brighton/
VR Days Europe,November 4,November 6,"
		Amsterdam, Netherlands	","
",https://aixr.org/event-listing/vr-days-europer/
Asia Digital Entertainment Summit,November 5,November 6,"
		Beijing, China	","
",https://aixr.org/event-listing/asia-digital-entertainment-summit/
VR World,November 10,November 11,"
		Olympia	","
							London			",https://aixr.org/event-listing/vr-world/
The 4th International VR Awards,November 12,,"
		Online	","
",https://aixr.org/event-listing/vr-awards-2020/
Hello Tomorrow Global Summit,November 16,November 20,"
		5 Rue Curial	","
		5 Rue Curial 75019, PARIS			",https://aixr.org/event-listing/hello-tomorrow-global-summit/
Education Forum,November 16,,"
		Online	","
",https://aixr.org/event-listing/education-technology-forum/
AIXR Insights Live: Understanding the Role of AI in Gaming and How it is Transforming an Industry.,November 17 @ 7:00 pm,,,,https://aixr.org/event-listing/aixr-insights-live-understanding-the-role-of-ai-in-gaming-and-how-it-is-transforming-an-industry/
XR USA 2020,November 19,November 20,"
		San Diego, California, USA	","
",https://aixr.org/event-listing/xr-usa-2020/
Training and Development Summit,November 23,,"
		Online	","
",https://aixr.org/event-listing/training-and-development-summit/
Health and Fitness Innovation Summit,November 23,,"
		Online	","
",https://aixr.org/event-listing/health-and-fitness-innovation-summit/
Business Revival Conference,November 25,,"
		Online	","
",https://aixr.org/event-listing/business-revival-conference/
Tourism Innovation Summit,November 25,November 27,"
		SEVILLE-FIBES	","
							Seville			",https://aixr.org/event-listing/tourism-innovation-summit/
Giant Health 2020,December 1,December 2,"
		Online	","
",https://aixr.org/event-listing/giant-health-2020/
"AIXR Insights Live: VR for Architecture and Construction: Improving Planning, Visualization and Training with Immersive Technologies.",December 1 @ 7:00 pm,,,,https://aixr.org/event-listing/aixr-insights-live-vr-for-architecture-and-construction-improving-planning-visualization-and-training-with-immersive-technologies/
Virtuality Paris,December 4,December 6,"
		Online	","
",https://aixr.org/event-listing/virtuality-paris/
SIGGRAPH Asia,December 4,December 13,"
		Online	","
",https://aixr.org/event-listing/siggraph-asia/
GOTO Amsterdam,December 7,December 10,"
		Beurs van Berlage	","
		Damrak 243, 1012 ZJ, 					Amsterdam			",https://aixr.org/event-listing/goto-amsterdam/
Stereopsia,December 15,December 16,"
		Online	","
",https://aixr.org/event-listing/stereopsia/
AMTech Expo,December 15,December 18,"
		Shahr-e Aftab Expo	","
							Tehran			",https://aixr.org/event-listing/amtech-expo/
Hospitality Tech and Innovation Summit,28 Jan 2021,,"
		Online	","
",https://aixr.org/event-listing/hospitality-tech-and-innovation-summit/
XR Summit ISE,02 Feb 2021 @ 2:00 pm,,"
		Fira de Barcelona	","
",https://aixr.org/event-listing/xr-summit-ise/
Digital Signage Summit ISE,03 Feb 2021 @ 8:45 am,,"
		Fira de Barcelona	","
",https://aixr.org/event-listing/digital-signage-summit-ise/
"SPIE AR, VR, MR Conference",07 Mar 2021,09 Mar 2021,"
		Moscone West	","
							San Francisco			",https://aixr.org/event-listing/spie-ar-vr-mr-conference/
Building and Construction Summit,15 Mar 2021,,"
		Online	","
",https://aixr.org/event-listing/building-and-construction-summit/
Advanced Factories Expo & Congress,20 Apr 2021,22 Apr 2021,"
		Centre de Convencions Internacional de Barcelona	","
		Plaza de Willy Brandt 11-14 08019, 					Barcelona			",https://aixr.org/event-listing/advanced-factories-expo-congress/
Digital Marketing Solutions Summit,13 May 2021,,"
		Hilton London Canary Wharf	","
		Marsh Wall South Quay Square, 					London			",https://aixr.org/event-listing/digital-marketing-solutions-summit/
Saudi Entertainment and Amusement Show,01 Jun 2021,03 Jun 2021,"
		Riyadh International Convention and Exhibition Center	","
",https://aixr.org/event-listing/saudi-entertainment-and-amusement-show/
Digital Cinema Summit,02 Jun 2021 @ 2:00 pm,,"
		Fira de Barcelona	","
",https://aixr.org/event-listing/digital-cinema-summit/
Going Global,09 Jun 2021,10 Jun 2021,"
		ExCel, London UK	","
		Royal Victoria Dock, 1 Western Gateway, Royal Docks, 					London			",https://aixr.org/event-listing/going-global/
The Business Show,09 Jun 2021,10 Jun 2021,"
		ExCel, London UK	","
		Royal Victoria Dock, 1 Western Gateway, Royal Docks, 					London			",https://aixr.org/event-listing/the-business-show/
Interior Design and Architecture Summit,28 Jun 2021,,"
		Hilton London Canary Wharf	","
		Marsh Wall South Quay Square, 					London			",https://aixr.org/event-listing/interior-design-and-architecture-summit/
